State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals
Alabama,51119,62220,57152,46971,45128,45952,56762,62770,56228,61156,71137,120914,737509
Alaska,5348,6731,7223,7030,6168,5830,6029,6976,6195,9941,7095,11055,85621
Arizona,24620,30563,28402,24762,24503,22999,23779,25003,25464,26501,27087,47759,331442
Arkansas,18184,24042,20397,17135,16258,15372,17694,21087,21834,23409,25048,36886,257346
California,113292,113789,199833,114686,119574,112704,140365,125122,125441,163211,180116,252946,1761079
Colorado,33007,37520,37740,34688,33062,31777,31280,36156,34229,37785,42271,64547,454062
Connecticut,24791,24291,30302,26677,24571,24605,22195,21514,21775,23918,26438,36673,307750
Delaware,4133,4137,4610,3665,3683,3332,3275,3459,3360,4052,5040,7670,50416
District of Columbia,61,53,68,51,53,49,64,67,41,76,64,95,742
Florida,87895,103809,93683,81456,77601,79101,83877,87429,85246,94518,103532,168935,1147082
Georgia,43248,57432,48200,35901,32956,34674,39608,40519,41685,45420,50795,96508,566946
Guam,164,147,161,146,148,184,186,147,181,213,171,218,2066
Hawaii,1188,1193,1344,1329,1145,1213,1157,1175,1270,1380,1252,1644,15290
Idaho,9858,12820,12234,10686,9975,9373,8675,9792,11078,11986,11925,18544,136946
Illinois,96712,86317,96770,118541,76538,80431,95297,94314,94476,95886,129861,182255,1247398
Indiana,67533,84043,83305,67791,64608,62755,52154,66212,83928,100220,130333,214035,1076917
Iowa,12562,16457,14948,11113,7597,7359,8356,8592,9865,10725,13794,25941,147309
Kansas,15166,18262,16337,14044,12249,10463,12248,13366,12731,14469,18433,28091,185859
Kentucky,320778,198493,281518,253890,271614,242027,220018,286463,262693,276162,295891,308824,3218371
Louisiana,24516,33759,26788,21000,20941,21042,23822,30880,39053,33300,37752,59760,372613
Maine,5423,6166,7438,6608,5860,6151,6549,7283,8648,11245,9297,14076,94744
Mariana Islands,1,5,2,2,1,2,1,1,1,1,0,1,18
Maryland,9311,9092,10656,10464,8105,8826,8595,8606,8912,11832,13463,17832,125694
Massachusetts,13112,11039,16296,14211,11907,11383,11898,12792,12092,13947,15885,22723,167285
Michigan,33596,38502,43233,36840,32961,30723,32153,33600,48331,43822,50278,76882,500921
Minnesota,37824,40699,51987,44682,37779,33553,31732,39036,43688,50060,44023,64181,519244
Mississippi,17119,23970,18635,14292,13803,13111,16575,18376,23398,20862,27504,44727,252372
Missouri,47271,55680,52566,42187,37565,37010,37539,40259,40511,49890,55031,89366,584875
Montana,8234,11027,10863,9473,9364,8529,8713,10130,11302,12988,10415,16667,127705
Nebraska,6241,6715,6796,5325,4500,4369,4596,5418,5433,6880,8299,14768,79340
Nevada,9482,11626,11192,9830,9959,9186,8829,8818,9821,9456,10632,18649,127480
New Hampshire,9834,9085,11780,10849,10564,9881,9404,10185,10094,11664,12850,20626,136816
New Jersey,7144,7229,8529,7594,6704,7007,6588,6537,6056,7315,8313,11018,90034
New Mexico,10614,13832,13587,11299,11021,9969,10404,11179,11570,12381,12721,19335,147912
New York,26506,25920,29889,26818,21977,22717,21821,23978,28204,33282,36421,48515,346048
North Carolina,43199,48473,45196,37520,32357,33889,37651,39565,42348,46020,49217,76441,531876
North Dakota,5512,5512,6517,5225,4683,4481,4593,5148,5619,7547,6288,8304,69429
Ohio,47676,59899,62389,59965,49428,49297,49952,51999,53928,62456,81616,119897,748502
Oklahoma,28606,34307,29926,26152,23210,21793,23594,26376,25154,28582,35457,56119,359276
Oregon,19429,24213,23895,20563,19292,17765,18003,19393,21650,25405,25453,41065,276126
Pennsylvania,73321,81379,92329,74820,62676,64122,65250,69162,70156,82552,103836,153826,993429
Puerto Rico,1225,1282,1377,1168,1477,1499,1342,1357,1300,1288,1242,1335,15892
Rhode Island,1722,1777,1953,1710,1543,1512,1461,1477,1566,1944,2101,3363,22129
South Carolina,23923,31543,26546,22801,20254,20763,25017,25047,24395,26030,32064,48614,326997
South Dakota,6709,9065,8923,6951,6436,5645,5914,7369,7949,10920,9727,14660,100268
Tennessee,57536,53761,40064,44972,40597,42558,57873,49128,52313,51134,63670,100586,654192
Texas,115315,140229,129368,106032,111012,106461,106013,122233,122503,126327,146982,241791,1574266
Utah,19394,20627,23422,20361,18544,20684,17259,19717,22343,19046,21772,31645,254814
Vermont,2373,3220,3115,3081,2172,2135,2219,2466,2681,3259,3136,4731,34588
Virgin Islands,79,113,96,115,118,104,159,100,134,100,109,115,1342
Virginia,36685,40786,39427,31657,28447,27904,32419,32147,34030,38959,48010,72526,462997
Washington,38018,43129,43542,38008,33943,32783,34177,36031,40441,45061,43989,73158,502280
West Virginia,17624,24248,25804,18739,15288,14695,15607,16720,17801,21388,25063,36037,249014
Wisconsin,24587,32541,37433,31164,24362,22715,24350,28396,30630,36111,38541,52450,383280
Wyoming,4413,5539,5459,4697,4612,4388,4371,4839,4968,5166,5017,8870,62339
