,Handgun,Long-gun,Other*
Jan 2019,567.97,382.09,89.13
Feb 2019,663.62,392.87,100.6
Mar 2019,802.56,481.36,110.1
Apr 2019,592.65,369.38,87.37
May 2019,542.65,321.75,93.32
Jun 2019,544.81,322.03,106.66
Jul 2019,490.48,295.66,72.2
Aug 2019,632.42,430.84,97.29
Sep 2019,536.31,439.47,88.81
Oct 2019,570.37,498.12,90.79
Nov 2019,702.39,614.54,106.94
Dec 2019,709.78,419.84,107.91
Jan 2020,859.85,689.44,122.48
Feb 2020,793.3,441.52,122.83
Mar 2020,1534,835.66,213.57
Apr 2020,1085.05,560.35,152.51
May 2020,1052.72,535.01,138.32
Jun 2020,1511.71,690.21,185.6
Jul 2020,1200,600,160
Aug 2020,1000,640,140
